user_id,username,hashed_password,account_number,balance,daily_limit,created_at
USR12345678,hamza_dev,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4hOhz.MGee,1234567890123456,5000.0,10000.0,2025-08-29T10:00:00Z
USR87654321,zunaira_test,$2b$12$KQv2b1xqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4hOhz.MGfe,9876543210987654,3500.5,15000.0,2025-08-29T10:15:00Z
USR11223344,husnain_demo,$2b$12$MQv4c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4hOhz.MGge,5555666677778888,12000.75,20000.0,2025-08-29T10:30:00Z
USR55667788,areesha_user,$2b$12$NQv5c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4hOhz.MGhe,1111222233334444,750.25,8000.0,2025-08-29T10:45:00Z
USR99887766,ahmed_client,$2b$12$OQv6c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4hOhz.MGie,7777888899990000,25000.0,50000.0,2025-08-29T11:00:00Z
USR1084245D,john,$2b$12$WUNKu4cWsPjRDqTeTEKDFOc4MAW7EoNhxG4TDTuG9JkAZk5laTBuq,1234567890123456,1000.0,10000.0,2025-08-30T03:34:21.353523Z
USRB9E16633,testuser,$2b$12$IOQDnm9CexoEGRWGmi5WjuAgyMRN4VNXyE5AZRdVJgGF3Y9pR.8/y,1234567890123458,5000.0,15000.0,2025-08-30T03:38:40.989578Z
USR7CC0CAB0,test_api_user,$2b$12$i9mnFs/09LzMqFrKR/gn/.Q2M6VUaeYAK2/KHXq5UaVHcgDGNGV9W,1111222233334455,1000.0,10000.0,2025-08-30T03:40:09.313646Z
USRD6DFBF02,live_test_user_20250830_084556,$2b$12$vnG2QPO6hWzLkIfQsQbeI.cs98iWzu/0Ab3aJIzgXq.UIkmLPMgQK,9999888877776666,2500.0,12000.0,2025-08-30T03:45:56.844012Z
USR2A211195,live_test_user_20250830_084640,$2b$12$Im/wjRYYjbGGunhb/BdWQ.maBq4YEE1RC6hBy6vgJeP9tWRN92Fxi,9999888877776666,2500.0,12000.0,2025-08-30T03:46:40.790746Z
USR0C64398C,demo_user,$2b$12$hVid8ghEwnkzkbTwt43jQu8Hh9K1X7STIKJKyhh3rRZH2t4RjjGBu,1122334455667788,5000.0,15000.0,2025-08-30T04:34:18.384496Z
USR71AC01BE,chatbot_test,$2b$12$HzLbzMO7KhLvhzLZeOhMtuuQje5xGbcia1uzblkiYZTtoiwHN.niW,9999888877776699,5000.0,15000.0,2025-08-30T04:43:47.673510Z
USR7BFEA959,testuser123,$2b$12$qv0cjtzZoHW5iF91Ullupuk1lif8fdnSMjgHS8PjSeBoYalwoGWNi,1234567890123456,1000.0,10000.0,2025-08-30T06:17:57.636912Z
USRA89E8CC9,test_user_20250830_112655_706,$2b$12$P2haQD/jJM6xOkc6zBzAbOfYTzbwQLDQ4tS8sD7tZbXAk5smvS4lu,1234567890123706,1000.0,10000.0,2025-08-30T06:26:55.974722Z
USR8B13189B,hamza,$2b$12$v4RPX5KDoVv0pEmbbD4/1.drrzyvUH3Zk4Yfcqw41Qijk6WkHhvRK,1111222233334555,1000.0,10000.0,2025-08-30T10:11:07.482401Z
